;query;Tweet;Username;Date;Hashtags;Likes;Retweets;URL
0;['obama'];Now do Reagan through Obama. ;J_Dubya80;Thu Dec 17 14:01:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/QEd7LnMW3E']
1;['obama'];      Why would Trump trust Obama’s pandemic team when literally every Obama loyalist in government was undermining him.;FightandDebate;Thu Dec 17 13:53:28 +0000 2020;['No Hashtags'];0;0;[]
2;['obama'];But Obama wore a tan suit? ;ssurovell;Thu Dec 17 13:53:57 +0000 2020;['No Hashtags'];52;7;['https://t.co/wr6XbZvQXt']
3;['obama'];"  Corona virus vaccine research was started and stopped under G Bush. Started again under Obama with vigor. Stopped under Trump but restarted late.

Thanks mostly to B Obama for laying the groundwork for this. Trump spent more time arguing against masks.";EntropyJimJohn;Thu Dec 17 14:14:07 +0000 2020;['No Hashtags'];0;0;[]
4;['obama'];GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid ;thomaskaine5;Thu Dec 17 14:12:41 +0000 2020;['No Hashtags'];85;27;['https://t.co/2HVGDpakUR']
5;['obama'];GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid - ;santo_aol;Thu Dec 17 14:04:24 +0000 2020;['No Hashtags'];1;0;['https://t.co/u60Y6YhDQ3']
6;['obama'];     Biden worked as VP under Obama and handled H1N1 pandemic, only 12000 ppl died during the entire pandemic. Of course, Trump criticized Obama that the deaths were too many, that he did a poor job. Now under his covid pandemic, over 308,000 ppl have died in 9 months and counting.;Cece57938158;Thu Dec 17 14:21:17 +0000 2020;['No Hashtags'];0;0;[]
7;['obama'];Has Obama taken the vaccine? I’ll take it if Barry takes it 😌;Chels_Ayyeee;Thu Dec 17 14:19:23 +0000 2020;['No Hashtags'];0;0;[]
8;['obama'];   Was just looking to see whether Obama pardoned him for that cough drop so I could write the same thing if he hadn't;Playerinthgame;Thu Dec 17 14:32:36 +0000 2020;['No Hashtags'];2;0;[]
9;['obama'];     These Trumpublkkkans would be the ones first in line to call for the president's execution if this pandemic was on Obama's watch.;JonathanTrubow;Thu Dec 17 14:35:05 +0000 2020;['No Hashtags'];2;0;[]
10;['pfizer']; No such concerns for the Pfizer vaccine. ;JohnMullahy;Thu Dec 17 14:13:54 +0000 2020;['No Hashtags'];12;0;['https://t.co/AdQaQSyKef']
11;['pfizer']; Can Pfizer get on with a vaccine for that please?;MarkH_Photo;Thu Dec 17 14:27:21 +0000 2020;['No Hashtags'];5;0;[]
12;['pfizer'];"Pfizer CEO won't take his own vaccine...😂😂🤷‍♂️🤷‍♂️

";ToolSalesJeff;Thu Dec 17 13:51:31 +0000 2020;['No Hashtags'];0;0;['https://t.co/NWEhHiT97u']
13;['pfizer']; From Pfizer absolutely not in waiting for a different option Pfizer’s track record is appalling and I remember the African kids they killed with their last rushed vaccine;Ravenstarwynd;Thu Dec 17 14:29:07 +0000 2020;['No Hashtags'];1;0;[]
14;['pfizer'];"the Pfizer mRNA vaccine is derived from fetal stem cells.  Any of you pro-life hypocrites are prohibited from being vaccinated

#Pfizer #Pfizervaccine #CoronaVaccine #CovidVaccines";SeventhSon6;Thu Dec 17 14:20:54 +0000 2020;['Pfizer', 'Pfizervaccine', 'CoronaVaccine', 'CovidVaccines'];0;0;[]
15;['pfizer'];  That stuff has more side-effects than the Pfizer vaccine.;nicomp;Thu Dec 17 14:38:49 +0000 2020;['No Hashtags'];1;0;[]
16;['pfizer'];What’s in Pfizer’s vaccine? A look at the ingredients - National |  ;mikemacgill77;Thu Dec 17 14:37:04 +0000 2020;['No Hashtags'];0;0;['https://t.co/CDtjpEVY6Y', 'https://t.co/IIu606azOv']
17;['pfizer'];Per article, the feds are blaming Pfizer for decreased vaccine, Pfizer claims they are sending agreed upon amount. Where is extra vaccine going? ;Luaalei;Thu Dec 17 14:33:25 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZhYvL1j8Up']
18;['pfizer'];"This is why Pfizer can't provide more Covid-19 vaccines faster
";helenyg;Thu Dec 17 14:29:21 +0000 2020;['No Hashtags'];0;0;['https://t.co/Y9rzLqEDiR']
19;['pfizer'];"Pfizer Execs. don't want to take the vaccine..
 ";BootSalty;Thu Dec 17 14:27:27 +0000 2020;['No Hashtags'];1;0;['https://t.co/6YWKBi374t', 'https://t.co/Eda7la6D5g']
20;['trump'];   Credit ..OK ...I will have a go ..Trump plague .. Trump virus .Trump disease.... Trump COVID... Trump Superspreader;ATheraspberry;Thu Dec 17 14:35:31 +0000 2020;['No Hashtags'];0;0;[]
21;['trump']; Trump had fake COVID or the Trump Virus.;CurtisReece10;Thu Dec 17 14:31:47 +0000 2020;['No Hashtags'];0;0;[]
22;['trump'];Do you think Trump is a Bully ?Are you proud of Trumps Tweets ?  Did Trump set a good example for Americans to wear a mask ?  Are you Thankful for Trump being a Womanizer? ;scrowson2;Thu Dec 17 14:18:43 +0000 2020;['No Hashtags'];0;0;['https://t.co/tz83gcHSA0']
23;['trump'];thats what trump gets ;Awes_meWasTaken;Thu Dec 17 14:32:30 +0000 2020;['No Hashtags'];0;0;['https://t.co/68ZhU0q1fe']
24;['trump'];"   It’s Trump’s fault

";HorizonUnltd;Thu Dec 17 14:30:18 +0000 2020;['No Hashtags'];0;0;['https://t.co/j0Ckc9GEQn']
25;['trump']; The TRUMP Vaccine!!!;transpo01;Thu Dec 17 14:30:18 +0000 2020;['No Hashtags'];0;0;[]
26;['trump'];So did we that's why Trump Lost ;bynsny;Thu Dec 17 14:30:00 +0000 2020;['No Hashtags'];2;2;['https://t.co/MbPMxbSCRs']
27;['trump'];Right up there with Trumps ;nancy11603700;Thu Dec 17 14:25:00 +0000 2020;['No Hashtags'];0;0;['https://t.co/zOA3Y2Jeii']
28;['trump'];Trump Genocide ;ShariFreeWill;Thu Dec 17 14:23:46 +0000 2020;['No Hashtags'];1;0;['https://t.co/hCx0VlxqL5']
29;['trump'];How is Trump's virus? ;PlechaRick;Thu Dec 17 14:18:15 +0000 2020;['No Hashtags'];0;0;['https://t.co/KqsuaPpv25']
30;['moderna']; do you own stock in Moderna? ;FloridaNathan;Thu Dec 17 14:38:18 +0000 2020;['No Hashtags'];1;0;['https://t.co/O1sAZIo4EX']
31;['moderna'];Moderna Requests Vaccine Authorization ;lendershouston;Thu Dec 17 14:39:11 +0000 2020;['No Hashtags'];0;0;['https://t.co/07agOlAJBy']
32;['moderna']; you omitted fact that head of OWS Slaoui came from Moderna. Bias? Moderna has never brought a vaccine to market? ;DSMagicMonkey;Thu Dec 17 14:27:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZtNBa2jwZP']
33;['moderna'];"MUST READ!! 🤜🤛👊
#COVID19Vaccine
#Moderna ";NrIsodera;Thu Dec 17 14:23:36 +0000 2020;['COVID19Vaccine', 'Moderna'];0;0;['https://t.co/5v8e2JgQmW']
34;['moderna'];Moderna vaccine looking very promising: ;JWStol;Thu Dec 17 14:15:08 +0000 2020;['No Hashtags'];0;0;['https://t.co/hbNg69mdRn']
35;['moderna'];Moderna has never had a vaccine come to market. Trump gave Moderna tons of money. Their trials consisted of a small amount of people. Convince me it is as safe as the others?;juneofla;Thu Dec 17 14:15:16 +0000 2020;['No Hashtags'];1;0;[]
36;['moderna'];"Key differences between the Moderna and Pfizer vaccines
";bleu_mule;Thu Dec 17 14:05:16 +0000 2020;['No Hashtags'];0;0;['https://t.co/YuKIUB0l6a']
37;['moderna'];"While they’re all dumping shares...🧐

PFIZER:


MODERNA:
 ";donottrustrobo1;Thu Dec 17 14:01:09 +0000 2020;['No Hashtags'];1;0;['https://t.co/BTO97RidHW', 'https://t.co/MvfdgbWBSb', 'https://t.co/D5B3MqbrZU']
38;['moderna'];Watch the FDA Review of the Moderna Vaccine:  ;Eric_Holdeman;Thu Dec 17 13:50:22 +0000 2020;['No Hashtags'];0;0;['https://t.co/P8mvbzVcy8']
39;['moderna'];"The underlying value in Moderna is the tech.
 
mRNA will eventually be used to create vaccines for everything from cancer to HIV.
 
So we are buying future cashflow in Moderna not just COVID cashflow.";tayooye;Thu Dec 17 14:11:08 +0000 2020;['No Hashtags'];6;2;[]
40;['macron'];Macron ;VisBlije;Thu Dec 17 14:28:58 +0000 2020;['No Hashtags'];1;1;['https://t.co/5Ag6LmWvqL']
41;['macron'];Me @ macron  ;MinouZanza;Thu Dec 17 14:09:58 +0000 2020;['No Hashtags'];9;2;['https://t.co/bw2p8DeUKj', 'https://t.co/SGkPWDR0Jt']
42;['macron'];Macron ;MARCHUMBERT12;Thu Dec 17 13:49:54 +0000 2020;['No Hashtags'];2;2;['https://t.co/9shjPvyTB9']
43;['macron'];Macron ;MARCHUMBERT12;Thu Dec 17 13:49:39 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZBmykGm2j2']
44;['macron'];Emmanuel Macron, President of France, tests positive for COVID-19 - Macron #Macron -  ;SquirgeC;Thu Dec 17 13:49:47 +0000 2020;['Macron'];0;0;['https://t.co/80IioraPkA']
45;['macron'];Macron, Macron, how sad: you'll soon be gone. ;breckenthang;Thu Dec 17 14:27:25 +0000 2020;['No Hashtags'];0;0;['https://t.co/HsV0RPo3A1']
46;['macron'];"Macron a le covid...😂
#Macron #Covid_19 ";MatMonde_;Thu Dec 17 14:25:02 +0000 2020;['Macron', 'Covid_19'];16;1;['https://t.co/4g4vg6jSsl']
47;['macron']; Covid to Macron: ;HumanTrampolin;Thu Dec 17 13:50:29 +0000 2020;['No Hashtags'];1;0;['https://t.co/0q1CzpchAF']
48;['macron'];Macron has Covid.;JakeLeslie23700;Thu Dec 17 14:36:39 +0000 2020;['No Hashtags'];0;0;[]
49;['macron'];Macron covid19 hoppa 😂🙌👍👍👍  ;AppieStudio;Thu Dec 17 14:29:25 +0000 2020;['No Hashtags'];2;2;['https://t.co/eSZsq3CgEV', 'https://t.co/HFpx9nQ8fH']
50;['germani']; did you register for the vaccine in germany;afchilles;Thu Dec 17 14:20:08 +0000 2020;['No Hashtags'];1;0;[]
51;['germani'];" How great is Germany doing not on island?

";CWar12;Thu Dec 17 13:55:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/An2L05DdcJ']
52;['germani'];   No. There was no pandemic in Germany during the 1940s.;GoingGandhi;Thu Dec 17 13:49:11 +0000 2020;['No Hashtags'];0;0;[]
53;['germani'];[BUSINESS] Germany to raise record 471 bn euros in pandemic debt: Frankfurt am Main, Germany, Dec 17 - Germany said Thursday it will issue up to 471 billion euros ($576 billion) worth of bonds in 2021, a record.. ;News_Kenya;Thu Dec 17 13:54:09 +0000 2020;['No Hashtags'];0;0;['https://t.co/8HmwHiPmIw']
54;['germani'];Germany and the Netherlands shut down the schools. This says it all. ;Heaudrais;Thu Dec 17 13:59:59 +0000 2020;['No Hashtags'];1;1;['https://t.co/8o8xiOUwdq']
55;['germani'];THOUSANDS IN GERMANY PROTEST THE LOCKDOWN AND RESTRICTIONS 🇩🇪 ;rara_apa4;Thu Dec 17 13:48:21 +0000 2020;['No Hashtags'];0;0;['https://t.co/G3pLA6XB8n']
56;['germani'];   The vaccine research was funded by Germany. The US only essentially paid for 'dibs' for when it did exist. Thank Germany, not Trump. Pfizer declined the money Trump offered.;JustinMLeach;Thu Dec 17 14:27:41 +0000 2020;['No Hashtags'];0;0;[]
57;['germani'];"  Hmmm, the vaccine is currently produced in Belgium, Germany &amp; US. It has been developped in Germany &amp; the whole process is a Resultat of a American/German partnership.

BrexitClown...";SpeicherRalf;Thu Dec 17 13:52:15 +0000 2020;['No Hashtags'];0;0;[]
58;['germani'];Coronavirus Scandal Breaking in Merkel’s Germany  via ;adrianxleconte;Thu Dec 17 14:13:50 +0000 2020;['No Hashtags'];3;2;['https://t.co/cF0Ftc02Qb']
59;['germani'];"Germany top virologist and advisor to ChancellorAngela Merkel mocked Germany and America. He said in the video that the Corona virus, protective measures and death toll is out of proportion to the C pandemic. 
DeepState to implement the Great RESET.

";TomMaw2;Thu Dec 17 14:04:35 +0000 2020;['No Hashtags'];0;1;['https://t.co/i0f7qDAVqm']
60;['spain']; The lockdown in Spain was extremely strict. In Spain masks must be worn inside and outdoors. Despite this cases in Spain skyrocketed throughout October. Mandatory social distancing/mask wearing does not work. Boris's arbitrary coronavirus restrictions will achieve nothing.;jeremy_hume;Thu Dec 17 14:37:46 +0000 2020;['No Hashtags'];0;0;[]
61;['spain'];  The lockdown in Spain was extremely strict. In Spain masks are mandatory inside and outdoors. Despite this cases in Spain rose sharply throughout October. Mandatory distancing/mask wearing does not work. Boris's tyrannical coronavirus restrictions will achieve nothing.;jeremy_hume;Thu Dec 17 14:15:17 +0000 2020;['No Hashtags'];0;0;[]
62;['spain'];Spain's PM Pedro sanchez to quarantine until Dec 24 after having lunch on Monday with French President Macron who tested positive for Covid-19. #Spain🇪🇸 #France🇫🇷 #COVID19 ;Based_Portugal;Thu Dec 17 14:08:57 +0000 2020;['Spain', 'France', 'COVID19'];1;0;['https://t.co/T1NMmMXSit']
63;['spain'];This is lockdown summed up: I’m living in Spain but the the S is silent :);AndreAyewSZN;Thu Dec 17 14:24:34 +0000 2020;['No Hashtags'];0;0;[]
64;['spain'];So will Spain also have the vaccine available on December 27? ;MajorcaDaily;Thu Dec 17 14:01:10 +0000 2020;['No Hashtags'];0;0;['https://t.co/eDOZGTCz1C']
65;['spain'];" Here is some data from Spain that shows that many of the assumptions we make are wrong.

";ssbawa;Thu Dec 17 14:34:01 +0000 2020;['No Hashtags'];0;0;['https://t.co/MVYV0lEJx2']
66;['spain'];Macron takes out Spain and Portuguese leaders with Covid. Is this a portent?;JonPark73442275;Thu Dec 17 14:29:08 +0000 2020;['No Hashtags'];0;0;[]
67;['spain']; Look at Spain. Their lockdown was very strict. In Spain masks must be worn both indoors and outdoors. Despite this Spanish cases skyrocketed in October. Mandatory distancing/mask wearing does not work. Boris Johnson's coronavirus restrictions will achieve absolutely nothing.;jeremy_hume;Thu Dec 17 14:37:01 +0000 2020;['No Hashtags'];0;0;[]
68;['spain'];Spain worries about Christmas as cases rise again - The Star Online: MADRID (Reuters) - Health authorities in Spain are worried about an uptick in coronavirus cases following a string of recent bank holidays and the relaxing of measures by some regions,…  ;globalfirstnews;Thu Dec 17 14:17:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/fry23SIald', 'https://t.co/RXFzLL7KcG']
69;['spain'];Spain worries about Christmas as cases rise again - The Star Online: MADRID (Reuters) - Health authorities in Spain are worried about an uptick in coronavirus cases following a string of recent bank holidays and the relaxing of measures by some regions,…  ;globalfirstnews;Thu Dec 17 13:50:07 +0000 2020;['No Hashtags'];0;0;['https://t.co/nyQYdf0tMc', 'https://t.co/AJOovsJXhC']
70;['restaur'];But restaurants?? #Tyranny ;Mia_patriot2A;Thu Dec 17 14:25:01 +0000 2020;['Tyranny'];1;0;['https://t.co/C4e9lkkpQq']
71;['restaur']; No connection to restaurants Jay. ;FredricoPena;Thu Dec 17 14:20:46 +0000 2020;['No Hashtags'];0;0;['https://t.co/E2vlUkuOr4']
72;['restaur'];Today’s episode features Jesson Gil, owner of famed Asheville restaurant  We talk to Jesson about his history in the restaurant industry, the evolution of Early Girl, and how a positive COVID case forced them to temporarily shut down their restaurant. Link in bio. ;NCFBPOD;Thu Dec 17 13:48:20 +0000 2020;['No Hashtags'];1;0;['https://t.co/qfBFbrxxqv']
73;['restaur']; Dining in restaurants is not safe at this time. ;TSubtext;Thu Dec 17 14:38:36 +0000 2020;['No Hashtags'];1;0;['https://t.co/FtWDCNqX44']
74;['restaur'];"Yesterday I heard that restaurants in CA are ""responsible"" for less than 2% of any ""spread,"" and govt buildings count for 11-17%.
But restaurant are being shut down. ";achilles_rageof;Thu Dec 17 13:57:29 +0000 2020;['No Hashtags'];0;0;['https://t.co/OPZ9ioh8ku']
75;['restaur'];Actually sitting down in a restaurant to eat. ;MJDraperBlake;Thu Dec 17 13:52:08 +0000 2020;['No Hashtags'];2;0;['https://t.co/dqRHzZmyGx']
76;['restaur'];. is announcing the #MontcoStrong Restaurant Grant Program to help restaurants impacted by the #COVID19 restrictions. $10,000 grants will be available. ;kenlawrencejr;Thu Dec 17 14:15:37 +0000 2020;['MontcoStrong', 'COVID19'];38;11;['https://t.co/0TzU9Aqh7A']
77;['restaur'];"Here's another person, who claims masks and restaurant capacity restrictions mean the country is in lockdown. We should note that there are not lines out the door of 50% or 25% restaurants. Demand is not there!
";districtyoder;Thu Dec 17 14:08:24 +0000 2020;['No Hashtags'];3;1;['https://t.co/Ryb1ldxBa4']
78;['restaur'];" Listen ... The post only made reference to ""restaurants"" 
Those same restaurants that have tables that are spaced out with the proper Covid Protocols ... Then a general statement of business operations must close at 10pm 🤦🏾‍♂️";Signatur3;Thu Dec 17 14:14:19 +0000 2020;['No Hashtags'];0;0;[]
79;['restaur'];This is not only a New York issue, it is affecting restaurants here in our state.  •18% of South Carolina operators say they are considering temporarily closing their restaurant until the COVID-19 pandemic passes. ;SCRLA;Thu Dec 17 14:10:49 +0000 2020;['No Hashtags'];0;0;['https://t.co/h1Gs6b4lgs']
80;['economi'];They cared more about the economy than people... ;Humblejoe1208;Thu Dec 17 14:05:37 +0000 2020;['No Hashtags'];0;0;['https://t.co/L4Ysdqfvs1']
81;['economi']; ‘There will be no impact on the economy because of COVID’;bsvishy;Thu Dec 17 13:54:38 +0000 2020;['No Hashtags'];1;0;[]
82;['economi'];"evidence that the economy’s recovery from the pandemic recession was faltering.  
 
#usa #unemployment #economy";fxaffairs;Thu Dec 17 13:52:57 +0000 2020;['usa', 'unemployment', 'economy'];0;0;['https://t.co/ECtdgozt21']
83;['economi'];" Because Tories didn't Act quickly enough, like Vietnam, for example economy less hit 
There economy grew 
Deaths = failed economy fact 
Deaths through austerity,  political choice because of policies";mmaher70;Thu Dec 17 14:31:02 +0000 2020;['No Hashtags'];0;0;[]
84;['economi'];Pandemic control is good for the economy ;DrDayaSharma;Thu Dec 17 13:55:20 +0000 2020;['No Hashtags'];2;3;['https://t.co/vZ4GFpXFRs']
85;['economi'];"People argue that we have to accept deaths for the sake of the economy. 

It's a lie. 

Their precious economy would do better if we simply worked together to stop the spread. ";AntonioBuehler;Thu Dec 17 14:05:12 +0000 2020;['No Hashtags'];0;0;['https://t.co/eWyEWcV0PS']
86;['economi'];“The pandemic and recession have acted as a “shock to the system” and accelerated change across the economy. These factors are likely spurring growth in the city’s digital economy”  👌 ;MPelletierCIO;Thu Dec 17 14:01:37 +0000 2020;['No Hashtags'];1;1;['https://t.co/SJMUuFywXt']
87;['economi'];     This is the real economy.  You suck at fixing it. #GOPBetrayedAmerica ;LostInGOPLand;Thu Dec 17 13:48:48 +0000 2020;['GOPBetrayedAmerica'];0;0;['https://t.co/NzpsdHWX85']
88;['economi']; Even before Covid our economy was in dolldrums. If not for Covid also economy would have reached this stage. What happened to 20 lakh cr Athmanirbar Scheme.;ramkisusi;Thu Dec 17 14:07:53 +0000 2020;['No Hashtags'];0;1;[]
89;['economi'];   He's wrong tho. Countries that did lockdown properly, and enforced it, have suppressed the virus and their economies are doing better. We are looking at a third, half hearted, lockdown and an economy in the tank;EasingwoldPaul;Thu Dec 17 13:50:00 +0000 2020;['No Hashtags'];0;0;[]
90;['school'];So are schools closed again? ;BeanFromPA;Thu Dec 17 14:17:38 +0000 2020;['No Hashtags'];1;0;['https://t.co/dTDTZpjIMb']
91;['school']; only secondary schools ;AllenWeso6;Thu Dec 17 13:57:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/Y93T41IKLy']
92;['school'];"Good news for Secondary Schools and Colleges from January, but what about Primary Schools? Do you think testing should be extended to Primary Schools too?

";PairooEducation;Thu Dec 17 14:17:57 +0000 2020;['No Hashtags'];0;0;['https://t.co/S7k3c1KZ2z']
93;['school']; asks  how and why Boston-area Catholic schools have pulled off in-person schooling this fall. ;ProfMartyWest;Thu Dec 17 14:27:44 +0000 2020;['No Hashtags'];1;1;['https://t.co/SmO2vGLwvr']
94;['school']; I get you don't like the schools being open. We got the rates down from 1,200 per day to 200/300 while schools were open. The schools are not driving the pandemic. behaviours are.;BillEbrill;Thu Dec 17 13:57:16 +0000 2020;['No Hashtags'];0;0;[]
95;['school'];" CBD is helping school kids cope with the new normal of Covid and school. 

";AFCaptainStraw;Thu Dec 17 14:24:49 +0000 2020;['No Hashtags'];0;0;['https://t.co/WBYMTkV7Rw']
96;['school'];"CBD is helping school kids cope with the new normal of Covid and school. 

";AFCaptainStraw;Thu Dec 17 14:24:36 +0000 2020;['No Hashtags'];1;0;['https://t.co/WBYMTkV7Rw']
97;['school'];"#UnionStrong reminder that many #NYC school buildings contain 2-3 schools each.
171 buildings w/ #COVID19 &gt; 171 schools.       ";labor_against;Thu Dec 17 13:49:30 +0000 2020;['UnionStrong', 'NYC', 'COVID19'];5;3;['https://t.co/h2qpUXmTSx']
98;['school'];But sure, open schools. ;StoneFree924;Thu Dec 17 14:33:40 +0000 2020;['No Hashtags'];0;0;['https://t.co/AuxP8IYzhl']
99;['school']; It may be acquired outside of school but pupils are spreading covid inside school once they have contracted it.;noncontacttime;Thu Dec 17 14:13:25 +0000 2020;['No Hashtags'];2;0;[]
